DateKey|Date|Day|WeekDay|WeekDayName|Month|MonthName|Quarter|Year
20120101|2012-01-01|1|1|Sunday|1|January|1|2012
20120102|2012-01-02|2|2|Monday|1|January|1|2012
20120103|2012-01-03|3|3|Tuesday|1|January|1|2012
20120104|2012-01-04|4|4|Wednesday|1|January|1|2012
20120105|2012-01-05|5|5|Thursday|1|January|1|2012
20120106|2012-01-06|6|6|Friday|1|January|1|2012
20120107|2012-01-07|7|7|Saturday|1|January|1|2012
20120108|2012-01-08|8|1|Sunday|1|January|1|2012
20120109|2012-01-09|9|2|Monday|1|January|1|2012
20120110|2012-01-10|10|3|Tuesday|1|January|1|2012
20120111|2012-01-11|11|4|Wednesday|1|January|1|2012
20120112|2012-01-12|12|5|Thursday|1|January|1|2012
20120113|2012-01-13|13|6|Friday|1|January|1|2012
20120114|2012-01-14|14|7|Saturday|1|January|1|2012
20120115|2012-01-15|15|1|Sunday|1|January|1|2012
20120116|2012-01-16|16|2|Monday|1|January|1|2012
20120117|2012-01-17|17|3|Tuesday|1|January|1|2012
20120118|2012-01-18|18|4|Wednesday|1|January|1|2012
20120119|2012-01-19|19|5|Thursday|1|January|1|2012
20120120|2012-01-20|20|6|Friday|1|January|1|2012
20120121|2012-01-21|21|7|Saturday|1|January|1|2012
20120122|2012-01-22|22|1|Sunday|1|January|1|2012
20120123|2012-01-23|23|2|Monday|1|January|1|2012
20120124|2012-01-24|24|3|Tuesday|1|January|1|2012
20120125|2012-01-25|25|4|Wednesday|1|January|1|2012
20120126|2012-01-26|26|5|Thursday|1|January|1|2012
20120127|2012-01-27|27|6|Friday|1|January|1|2012
20120128|2012-01-28|28|7|Saturday|1|January|1|2012
20120129|2012-01-29|29|1|Sunday|1|January|1|2012
20120130|2012-01-30|30|2|Monday|1|January|1|2012
20120131|2012-01-31|31|3|Tuesday|1|January|1|2012
20120201|2012-02-01|1|4|Wednesday|2|February|1|2012
20120202|2012-02-02|2|5|Thursday|2|February|1|2012
20120203|2012-02-03|3|6|Friday|2|February|1|2012
20120204|2012-02-04|4|7|Saturday|2|February|1|2012
20120205|2012-02-05|5|1|Sunday|2|February|1|2012
20120206|2012-02-06|6|2|Monday|2|February|1|2012
20120207|2012-02-07|7|3|Tuesday|2|February|1|2012
20120208|2012-02-08|8|4|Wednesday|2|February|1|2012
20120209|2012-02-09|9|5|Thursday|2|February|1|2012
20120210|2012-02-10|10|6|Friday|2|February|1|2012
20120211|2012-02-11|11|7|Saturday|2|February|1|2012
20120212|2012-02-12|12|1|Sunday|2|February|1|2012
20120213|2012-02-13|13|2|Monday|2|February|1|2012
20120214|2012-02-14|14|3|Tuesday|2|February|1|2012
20120215|2012-02-15|15|4|Wednesday|2|February|1|2012
20120216|2012-02-16|16|5|Thursday|2|February|1|2012
20120217|2012-02-17|17|6|Friday|2|February|1|2012
20120218|2012-02-18|18|7|Saturday|2|February|1|2012
